City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kumul,42.8,93.45,15.78,73,0,0.54,CN,1608127948
Cullman,34.17,-86.84,45.0,93,90,3.36,US,1608127947
Arrondissement de Bernay,49.17,0.67,48.99,82,100,5.01,FR,1608127948
Tuktoyaktuk,69.45,-133.04,-20.69,88,95,6.51,CA,1608127948
Marrakesh,31.63,-8.01,60.8,77,75,8.05,MA,1608127891
Acapulco de Juárez,16.86,-99.89,71.6,83,75,3.36,MX,1608127674
Puerto Madryn,-42.77,-65.04,68.22,30,0,8.08,AR,1608127852
Victor Harbor,-35.57,138.62,59.0,90,100,1.01,AU,1608127949
Alice Springs,-23.7,133.88,90.0,21,75,6.93,AU,1608127949
Castro,-24.79,-50.01,79.5,55,2,4.07,BR,1608127950
Staveley,53.27,-1.35,46.99,95,100,1.01,GB,1608127950
New Norfolk,-42.78,147.06,55.0,68,100,1.61,AU,1608127950
Yataity,-26.37,-56.07,69.78,100,100,3.06,PY,1608127951
Palestine,31.92,35.2,60.8,93,75,9.17,PS,1608127951
Trairi,-3.28,-39.27,87.69,57,100,13.49,BR,1608127939
Mumford,5.26,-0.76,82.74,75,100,11.3,GH,1608127951
Kapaa,22.08,-159.32,75.2,83,20,12.75,US,1608127795
Batagay-Alyta,67.8,130.41,-20.42,70,100,1.48,RU,1608127952
Lumeje,-11.55,20.78,83.3,51,28,8.21,AO,1608127952
Esmeraldas,-19.76,-44.31,84.2,51,0,4.7,BR,1608127904
Marsá Maţrūḩ,31.35,27.25,66.2,68,40,12.75,EG,1608127953
Van,38.49,43.38,42.8,75,75,0.22,TR,1608127953
Linxia Chengguanzhen,35.6,103.21,21.56,86,100,2.24,CN,1608127888
Māngrol,21.12,70.12,74.79,38,0,12.5,IN,1608127953
Hofn,64.25,-15.21,42.8,88,90,12.75,IS,1608127954
Laas,46.62,10.7,44.01,86,40,2.24,IT,1608127954
Pedasí,7.53,-80.03,79.34,77,100,8.9,PA,1608127954
Leh,34.17,77.58,5.58,68,26,4.18,IN,1608127954
West Plains,36.73,-91.85,30.2,80,90,8.05,US,1608127955
Grand Gaube,-20.01,57.66,80.01,80,3,8.99,MU,1608127955
Tame,6.46,-71.73,83.79,56,3,6.17,CO,1608127955
Kavieng,-2.57,150.8,83.59,77,100,10.69,PG,1608127955
Morón de la Frontera,37.12,-5.45,57.2,87,75,13.87,ES,1608127956
Velyka Bilozerka,47.28,34.71,35.4,84,89,4.97,UA,1608127956
Tarakan,3.3,117.63,81.72,76,17,6.33,ID,1608127956
Hosdurga,13.8,76.29,71.71,71,25,14.36,IN,1608127957
Coquimbo,-29.95,-71.34,57.2,87,90,3.36,CL,1608127764
Mount Isa,-20.73,139.5,86.0,42,60,8.05,AU,1608127957
Xam Nua,20.42,104.04,53.33,87,84,2.68,LA,1608127957
Saskylakh,71.92,114.08,-32.84,83,84,2.55,RU,1608127958
Bubaque,11.28,-15.83,80.17,47,0,7.31,GW,1608127958
Chokurdakh,70.63,147.92,-13.59,91,100,4.65,RU,1608127958
Gīdam,18.98,81.4,71.51,57,5,2.08,IN,1608127959
Nadym,65.53,72.52,-0.9,92,96,12.8,RU,1608127959
Yarmouth,41.71,-70.23,28.99,63,75,8.05,US,1608127959
Salmo,49.2,-117.27,37.4,86,100,9.17,CA,1608127959
Nizhniy Kuranakh,58.84,125.49,-13.65,86,99,2.01,RU,1608127960
Departamento de Maldonado,-34.67,-54.92,75.0,35,0,11.41,UY,1608127960
Olafsvik,64.89,-23.71,36.5,83,100,25.48,IS,1608127960
Katsuura,35.13,140.3,41.0,52,20,9.17,JP,1608127960
Labuhan,-6.88,112.21,77.41,91,100,5.23,ID,1608127961
George Town,5.41,100.34,78.8,94,40,0.4,MY,1608127805
Bonnyville,54.27,-110.73,14.0,92,100,1.12,CA,1608127961
Mossamedes,-15.2,12.15,73.06,69,3,13.71,AO,1608127961
Roebourne,-20.78,117.13,83.23,69,27,12.53,AU,1608127961
Yulara,-25.24,130.99,91.4,29,90,17.22,AU,1608127962
Hong Kong,22.29,114.16,59.0,73,52,8.05,HK,1608127685
Longyearbyen,78.22,15.64,5.0,54,0,11.41,SJ,1608127962
Dengzhou,37.81,120.75,30.16,85,0,9.75,CN,1608127962
Stornoway,58.21,-6.39,48.2,81,75,14.99,GB,1608127963
Sechura,-5.56,-80.82,73.22,67,24,6.67,PE,1608127963
Tiksi,71.69,128.87,-18.44,88,100,3.04,RU,1608127964
Husavik,66.04,-17.34,35.6,80,75,11.41,IS,1608127964
Ilebo,-4.32,20.58,91.0,45,100,2.44,CD,1608127964
Princeton,25.54,-80.41,77.0,94,1,8.86,US,1608127964
Bichena,10.45,38.2,69.55,22,81,4.23,ET,1608127965
Broken Hill,-31.95,141.43,80.6,34,0,11.41,AU,1608127965
Mercedes,-34.65,-59.43,77.0,32,0,10.0,AR,1608127965
Gombong,-7.61,109.51,78.17,86,93,2.35,ID,1608127868
Voh,-20.97,164.7,73.96,80,13,4.72,NC,1608127966
Klaksvík,62.23,-6.59,44.6,93,100,17.22,FO,1608127966
Bonthe,7.53,-12.51,83.03,75,100,7.0,SL,1608127966
Maniitsoq,65.42,-52.9,26.2,83,4,7.18,GL,1608127966
Ikom,5.97,8.71,94.39,40,31,4.12,NG,1608127967
Fare,-16.7,-151.02,80.29,78,68,19.15,PF,1608127967
Gizo Government Station,-8.1,156.84,83.26,73,64,3.38,SB,1608127967
Tautira,-17.73,-149.15,75.2,73,20,2.24,PF,1608127967
Yuancheng,36.65,107.79,19.67,83,100,0.74,CN,1608127968
Sholokhove,47.69,34.03,35.19,85,45,5.12,UA,1608127968
Sitka,57.05,-135.33,41.0,80,90,3.36,US,1608127869
Le Moule,16.33,-61.35,82.4,74,75,1.12,GP,1608127968
Zyryanka,65.75,150.85,-22.22,87,100,6.04,RU,1608127969
Arraial do Cabo,-22.97,-42.03,86.0,70,20,10.29,BR,1608127738
Uyuni,-20.46,-66.83,56.37,30,96,5.41,BO,1608127969
Daru,-9.08,143.21,80.26,84,100,2.51,PG,1608127969
Khani,41.96,42.96,53.6,100,90,2.24,GE,1608127970
Yining,29.04,114.56,36.81,76,91,2.91,CN,1608127970
Roald,62.58,6.13,46.4,70,75,6.93,NO,1608127970
Bilma,18.69,12.92,81.88,15,42,6.17,NE,1608127970
Englehart,47.82,-79.87,-7.6,76,90,6.78,CA,1608127971
Myatlevo,54.9,35.68,28.4,92,90,6.71,RU,1608127971
Kantunilkín,21.09,-87.45,68.0,100,40,2.64,MX,1608127971
Seville,37.38,-5.98,57.2,93,90,4.7,ES,1608127866
Saint-Joseph,-21.37,55.62,82.4,74,20,14.99,RE,1608127971
Bereda,43.27,-7.54,51.01,100,100,5.01,ES,1608127972
Garden City,42.33,-83.33,30.99,74,90,11.41,US,1608127928
Gillette,44.29,-105.5,33.01,89,90,10.29,US,1608127972
Tezu,27.92,96.17,63.25,32,43,3.96,IN,1608127973
Lavrentiya,65.58,-171.0,12.6,94,85,15.35,RU,1608127973
Shache,38.42,77.24,23.9,94,71,3.2,CN,1608127953
Talara,-4.58,-81.27,71.6,78,75,12.75,PE,1608127703
Provideniya,64.38,-173.3,16.05,95,90,19.13,RU,1608127974
Jiuquan,39.74,98.52,14.97,84,100,3.78,CN,1608127974
Leningradskiy,69.38,178.42,14.92,94,100,22.91,RU,1608127974
Linkuva,56.09,23.97,37.4,93,90,9.17,LT,1608127974
Necochea,-38.55,-58.74,78.01,42,13,16.87,AR,1608127870
Caledon,-34.23,19.43,73.99,62,57,8.01,ZA,1608127882
Marawi,8.0,124.29,77.0,91,59,5.01,PH,1608127975
Lüderitz,-26.65,15.16,78.8,47,0,23.04,NA,1608127976
Bilokurakyne,49.53,38.73,23.85,97,3,6.76,UA,1608127976
Vila Franca do Campo,37.72,-25.43,62.6,93,75,20.8,PT,1608127976
Solnechnyy,50.72,136.63,-3.68,84,85,1.86,RU,1608127976
Port Alfred,-33.59,26.89,73.99,75,0,9.95,ZA,1608127977
Yerbogachën,61.28,108.01,-14.39,86,100,9.73,RU,1608127977
Pacific Grove,36.62,-121.92,42.8,75,1,3.36,US,1608127791
Narsaq,60.92,-46.05,39.2,35,75,46.08,GL,1608127978
Olbia,40.92,9.49,66.2,59,20,4.7,IT,1608127978
Mahébourg,-20.41,57.7,80.6,83,75,9.17,MU,1608127978
Watertown,42.37,-71.18,21.2,48,20,8.05,US,1608127785
Fort Myers Beach,26.45,-81.95,72.0,82,1,8.05,US,1608127979
Boyolangu,-8.12,111.89,76.57,83,100,4.29,ID,1608127979
Yakeshi,49.28,120.73,-13.05,87,1,5.66,CN,1608127979
Correntina,-13.34,-44.64,86.76,45,100,5.5,BR,1608127979
Calama,-22.47,-68.93,66.2,17,0,16.11,CL,1608127980
Deputatsky,69.3,139.9,-29.96,87,95,1.59,RU,1608127980
Leshukonskoye,64.9,45.76,13.87,97,100,5.66,RU,1608127980
Lorengau,-2.02,147.27,83.14,78,96,8.1,PG,1608127980
Hamilton,39.18,-84.53,30.99,92,90,3.36,US,1608127705
Nicoya,10.15,-85.45,73.4,94,0,3.36,CR,1608127981
Collie,-33.37,116.15,57.99,65,14,4.0,AU,1608127981
Bac Lieu,9.29,105.72,79.2,81,98,12.53,VN,1608127982
Bayanday,53.07,105.51,-0.54,89,30,10.54,RU,1608127982
Port-Gentil,-0.72,8.78,77.0,88,40,10.29,GA,1608127982
Madimba,-10.4,40.33,87.8,58,20,17.22,TZ,1608127983
Narasannapeta,18.42,84.05,72.55,68,38,7.0,IN,1608127983
Cairns,-16.92,145.77,82.4,78,90,3.36,AU,1608127983
Ilulissat,69.22,-51.1,26.6,38,5,18.34,GL,1608127983
Morant Bay,17.88,-76.41,84.0,69,40,6.93,JM,1608127983
Sorong,-0.88,131.25,82.65,77,100,8.72,ID,1608127984
Trencin,48.83,18.25,39.99,90,100,1.14,SK,1608127984
New Glasgow,45.58,-62.65,10.4,85,75,18.34,CA,1608127793
Zambezi,-13.54,23.1,76.86,76,74,8.32,ZM,1608127984
Labuan,5.28,115.24,78.8,94,20,3.36,MY,1608127985
Cidreira,-30.18,-50.21,77.27,77,23,8.63,BR,1608127902
Ngunguru,-35.62,174.5,54.0,89,18,1.99,NZ,1608127985
Tobol,52.68,62.58,17.28,92,100,10.89,KZ,1608127985
Rabat,33.99,-6.84,62.6,77,75,8.05,MA,1608127730
Mahon,39.89,4.27,62.6,82,40,8.05,ES,1608127986
Zhezkazgan,47.8,67.71,-0.36,89,0,5.14,KZ,1608127986
Cherskiy,68.75,161.3,-21.1,88,99,3.24,RU,1608127987
Guhāgar,17.48,73.19,76.87,75,19,8.08,IN,1608127905
Teahupoo,-17.83,-149.27,75.2,73,20,2.24,PF,1608127987
Ballina,-28.87,153.57,73.4,88,75,5.82,AU,1608127988
Mananara,-16.17,49.77,80.92,74,6,8.9,MG,1608127988
Valparaíso,-33.04,-71.63,62.01,72,0,5.82,CL,1608127988
Caravelas,-17.71,-39.25,84.02,59,95,8.9,BR,1608127988
Uitenhage,-33.76,25.4,78.01,50,0,9.17,ZA,1608127967
Beloha,-25.17,45.05,87.84,41,13,13.24,MG,1608127989
Oodweyne,9.41,45.06,74.03,43,0,14.38,SO,1608127989
Yamada,39.47,141.95,26.56,87,5,6.51,JP,1608127863
Port Elizabeth,-33.92,25.57,75.2,50,0,9.17,ZA,1608127990
Lufilufi,-13.87,-171.6,78.8,100,75,3.36,WS,1608127990
Iporá,-16.44,-51.12,84.02,64,100,6.4,BR,1608127991
Sabha,27.04,14.43,67.69,25,93,6.04,LY,1608127991
Ambilobe,-13.2,49.05,81.91,74,27,5.57,MG,1608127991
Port Moresby,-9.44,147.18,77.0,94,75,11.41,PG,1608127847
Wau,7.7,28.0,99.05,12,72,6.22,SS,1608127992
Auki,-8.77,160.7,80.92,83,50,5.73,SB,1608127992
Margate,51.38,1.39,52.0,75,100,5.99,GB,1608127992
Kirakira,-10.45,161.92,80.55,81,42,5.91,SB,1608127993
Taoudenni,22.68,-3.98,84.42,13,0,8.34,ML,1608127993
Peniche,39.36,-9.38,61.0,86,69,13.0,PT,1608127993
Los Zacatones,22.95,-102.05,39.2,51,5,5.35,MX,1608127993
Athabasca,54.72,-113.29,15.8,85,99,5.82,CA,1608127994
Clearlake,38.96,-122.63,44.01,88,100,1.99,US,1608127994
Eyl,7.98,49.82,78.87,66,0,23.87,SO,1608127994
Zeya,53.75,127.27,-12.39,83,0,1.14,RU,1608127994
Whitehorse,60.72,-135.05,5.0,77,90,4.7,CA,1608127995
Balkhash,46.84,74.98,5.99,86,36,3.27,KZ,1608127995
Honiara,-9.43,159.95,77.0,100,20,2.24,SB,1608127995
Mabaruma,8.2,-59.78,85.37,66,63,2.91,GY,1608127995
Geraldton,-28.77,114.6,68.0,77,90,17.22,AU,1608127996
Chicama,-7.84,-79.15,66.2,82,96,6.93,PE,1608127996
Bermeo,43.42,-2.72,61.0,51,20,13.87,ES,1608127996
Souillac,-20.52,57.52,80.6,83,75,9.17,MU,1608127996
Bonavista,48.65,-53.11,24.8,79,100,19.46,CA,1608127997
Oranjemund,-28.55,16.43,69.55,62,0,22.35,NA,1608127997
Ciudad Bolivar,8.12,-63.55,84.15,63,79,10.45,VE,1608127848
Lagoa,39.05,-27.98,63.46,79,50,26.02,PT,1608127960
Terney,45.05,136.61,2.82,80,0,10.87,RU,1608127998
Tual,-5.67,132.75,84.94,76,100,19.22,ID,1608127998
Namuac,18.61,121.17,76.14,85,99,19.04,PH,1608127998
Verkhnevilyuysk,63.45,120.32,-20.04,87,95,4.56,RU,1608127999
Xining,36.62,101.77,15.42,83,84,1.43,CN,1608127999
Fernley,39.61,-119.25,32.0,97,5,1.99,US,1608127999
Zheleznodorozhnyy,55.75,38.0,27.0,100,90,4.47,RU,1608127999
Grand Forks,47.94,-97.43,24.8,85,90,18.34,US,1608128000
Cayenne,4.93,-52.33,84.2,79,75,4.7,GF,1608128000
Chui,-33.7,-53.46,71.31,66,28,11.23,UY,1608128000
Fort Nelson,58.81,-122.7,-2.2,77,90,2.24,CA,1608128000
Poopó,-18.37,-66.97,57.2,41,20,4.7,BO,1608128001
Erzin,36.96,36.2,60.01,72,100,8.01,TR,1608127907
Biltine,14.53,20.92,94.6,9,6,7.43,TD,1608128001
Oddur,4.12,43.89,88.11,19,6,13.56,SO,1608128001
Simões,-7.6,-40.82,95.38,33,61,2.77,BR,1608128002
Dubai,25.26,55.3,79.0,41,0,10.29,AE,1608127770
Saint Anthony,45.02,-93.22,18.0,72,40,5.91,US,1608128002
Yeppoon,-23.13,150.73,78.8,78,40,8.05,AU,1608128003
Aras,42.56,-2.36,48.2,70,20,14.99,ES,1608128003
Black River,18.03,-77.85,82.0,69,20,6.93,JM,1608128003
Bria,6.54,21.99,97.83,14,100,6.11,CF,1608128003
Marabu,4.41,114.01,80.6,94,40,1.12,MY,1608128004
Shakawe,-18.37,21.85,86.07,44,67,7.38,BW,1608128004
Eenhana,-17.47,16.33,100.4,18,20,4.7,NA,1608128004
Bahir Dar,11.59,37.39,77.59,22,0,7.18,ET,1608128005
Malakal,9.53,31.66,98.04,11,84,8.43,SS,1608128005
Culpeper,38.5,-77.97,32.0,87,90,5.82,US,1608128005
Harnai,30.1,67.94,48.13,42,0,0.92,PK,1608128005
Isangel,-19.55,169.27,76.57,80,11,15.14,VU,1608128006
Lata,40.16,-8.33,55.0,87,75,5.82,PT,1608128006
Karratha,-20.74,116.85,82.65,71,50,12.33,AU,1608128006
Paamiut,61.99,-49.67,34.52,79,70,8.59,GL,1608127733
Ixtapa,20.7,-105.2,68.0,93,75,9.17,MX,1608128007
Semey,50.41,80.23,4.26,89,28,5.66,KZ,1608128007
Mareeba,-17.0,145.43,82.4,78,90,3.36,AU,1608128007
Umluj,25.02,37.27,72.19,47,0,12.12,SA,1608128007
Ganzhou,28.82,115.43,40.39,67,90,4.94,CN,1608128008
Zliten,32.47,14.57,65.5,42,18,11.03,LY,1608127972
Darhan,49.49,105.92,4.73,91,100,3.69,MN,1608128008
Beringovskiy,63.05,179.32,13.01,96,97,9.53,RU,1608128008
Banjar,-8.19,114.97,80.6,83,75,6.93,ID,1608128009
Flinders,-34.58,150.86,73.0,92,99,3.0,AU,1608128009
Krasnovishersk,60.41,57.08,15.93,96,100,6.76,RU,1608128009
Atar,20.52,-13.05,85.77,14,0,10.51,MR,1608128009
Qasigiannguit,68.82,-51.19,26.6,38,5,18.34,GL,1608128010
Gamba,-2.65,10.0,77.29,86,100,5.99,GA,1608128011
Digby,44.62,-65.77,17.01,87,77,17.78,CA,1608128011
Saldanha,-33.01,17.94,77.0,41,78,21.92,ZA,1608128011
São João do Paraíso,-15.31,-42.01,79.02,51,71,8.57,BR,1608128011
Hořice,50.37,15.63,37.99,88,100,3.0,CZ,1608128011
Haines Junction,60.75,-137.51,8.6,84,100,1.52,CA,1608128012
Lakeway,30.36,-97.98,37.0,78,1,8.05,US,1608128012
Kahului,20.89,-156.47,73.4,83,40,11.41,US,1608128012
Constitución,-35.33,-72.42,66.69,41,0,7.36,CL,1608128012
Okha,53.57,142.95,21.25,96,100,21.52,RU,1608128013
Porto Seguro,-16.45,-39.06,80.6,65,20,10.29,BR,1608127895
Long Beach,33.77,-118.19,51.8,56,1,3.11,US,1608128013
Praia da Vitória,38.73,-27.07,68.0,68,40,19.46,PT,1608127944
Kudat,6.88,116.85,78.8,94,40,1.12,MY,1608128014
Luganville,-15.53,167.17,78.24,84,25,8.72,VU,1608128014
Berbera,10.44,45.01,78.1,70,63,13.69,SO,1608128014
Hithadhoo,-0.6,73.08,82.11,71,24,8.16,MV,1608128014
Palmares do Sul,-30.26,-50.51,83.1,62,1,5.35,BR,1608128015
Kaeo,-35.1,173.78,54.0,89,1,1.99,NZ,1608128015
Locri,38.24,16.26,62.6,67,99,5.82,IT,1608128015
Pevek,69.7,170.31,6.22,92,17,9.82,RU,1608128015
Gopālpur,19.27,84.92,73.85,71,0,4.79,IN,1608128015
Lonato,45.46,10.47,48.0,93,40,4.7,IT,1608128016
Novouzensk,50.46,48.14,21.99,91,96,5.55,RU,1608128016
Emba,48.83,58.14,16.9,88,100,9.01,KZ,1608128016
Kalmunai,7.42,81.82,78.35,74,76,3.78,LK,1608128016
Waddān,29.16,16.14,64.87,34,8,4.94,LY,1608128017
Touros,-5.2,-35.46,87.8,55,40,10.29,BR,1608128017
Naifaru,5.44,73.37,82.11,73,99,9.8,MV,1608128017
Nahrin,36.06,69.13,30.78,76,0,5.23,AF,1608128017
Prince Albert,53.2,-105.77,3.2,84,75,6.93,CA,1608128018
Ben Gardane,33.14,11.22,67.62,35,13,3.51,TN,1608128018
Vidim,56.41,103.11,-12.12,88,88,7.07,RU,1608128018
Estelle,29.85,-90.11,52.0,100,90,11.41,US,1608128018
Mashhad,36.3,59.61,41.0,65,75,4.7,IR,1608127901
Escondido,33.12,-117.09,48.99,26,1,5.82,US,1608127953
Santa Maria,-29.68,-53.81,84.43,53,87,4.97,BR,1608127847
Damoh,23.83,79.45,64.04,63,0,7.9,IN,1608128019
