City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Darnah,32.77,22.64,63.12,69,93,12.55,LY,1608217731
Sibolga,1.74,98.78,76.75,83,100,3.0,ID,1608217731
Sayyan,15.17,44.32,53.17,42,45,0.76,YE,1608217731
Nantucket,41.28,-70.1,46.4,93,90,18.34,US,1608217731
Isangel,-19.55,169.27,75.02,79,5,12.12,VU,1608217456
Lompoc,34.64,-120.46,50,87,90,2.15,US,1608217481
Mizhhirya,48.52,23.51,37.99,92,90,1.66,UA,1608217732
Akureyri,65.68,-18.09,37.4,86,75,13.87,IS,1608217685
Zhigansk,66.77,123.37,-37.55,82,99,1.14,RU,1608217572
Chicama,-7.84,-79.15,68,82,44,11.41,PE,1608217583
Mumford,5.26,-0.76,82.47,76,96,11.65,GH,1608217733
Atar,20.52,-13.05,83.44,20,0,14.92,MR,1608217734
Nioro,13.35,-15.75,99.14,10,58,6.11,GM,1608217734
Ahipara,-35.17,173.17,55.8,90,2,4.18,NZ,1608217734
Asău,46.43,26.4,37.4,93,90,5.82,RO,1608217545
Marzuq,14.4,46.47,65.8,49,0,9.44,YE,1608217558
São Filipe,14.9,-24.5,75.51,65,99,10.63,CV,1608217735
Kavieng,-2.57,150.8,83.44,74,100,8.3,PG,1608217482
Chui,-33.7,-53.46,78.33,58,2,8.72,UY,1608217585
Ptolemaida,40.51,21.68,54,87,90,1.14,GR,1608217735
Malakal,9.53,31.66,92.21,14,55,6.49,SS,1608217736
Alofi,-19.06,-169.92,75.2,94,100,6.93,NU,1608217593
Havre-St-Pierre,50.23,-63.6,12.2,72,90,5.82,CA,1608217736
Nouakchott,18.09,-15.98,89.6,15,27,17.22,MR,1608217484
Hithadhoo,-0.6,73.08,82.31,77,3,12.1,MV,1608217468
Ambon City,-3.7,128.18,84.99,84,99,8.88,ID,1608217737
Turukhansk,65.82,87.98,-1.12,92,100,18.03,RU,1608217737
Sitka,57.05,-135.33,37.4,86,90,9.17,US,1608217509
Bethel,41.37,-73.41,25,93,100,5.99,US,1608217492
Lipari,38.47,14.95,62.01,69,100,7.83,IT,1608217738
Muisne,0.6,-80.03,77,83,75,9.17,EC,1608217483
Wellington,-41.29,174.78,57.2,87,60,1.12,NZ,1608217601
Anaconda,46.13,-112.94,30.2,80,75,9.17,US,1608217739
Te Anau,-45.42,167.72,55.8,89,98,2.48,NZ,1608217528
Muroto-misakicho,33.28,134.15,45.46,58,64,12.37,JP,1608217739
Sangar,63.92,127.47,-41.35,80,99,3.71,RU,1608217739
Mumbai,19.01,72.85,80.6,78,0,4.7,IN,1608217512
Port Hedland,-20.32,118.57,82.4,88,51,13.87,AU,1608217528
Beisfjord,68.38,17.6,28.4,58,0,20.8,NO,1608217740
Ati,13.22,18.34,94.17,10,11,7.9,TD,1608217569
Weiser,44.25,-116.97,39.99,86,90,8.05,US,1608217740
Nikolskoye,59.7,30.79,33.8,86,90,8.95,RU,1608217477
Cap Malheureux,-19.98,57.61,79,80,25,7.0,MU,1608217543
Lamar,33.67,-95.58,33.01,92,1,4.7,US,1608217741
Ürümqi,43.8,87.6,-2.2,84,40,2.24,CN,1608217742
Bay Roberts,47.6,-53.26,30.99,79,90,17.22,CA,1608217742
Tabuk,17.42,121.44,71.89,91,100,3.89,PH,1608217742
Manoel Urbano,-8.84,-69.26,94.3,41,58,2.28,BR,1608217743
Clyde River,70.47,-68.59,-4,83,1,5.82,CA,1608217471
Homer,59.64,-151.55,30.99,68,90,3.36,US,1608217743
Novy Urengoy,66.08,76.63,2.19,93,100,16.91,RU,1608217497
Tiksi,71.69,128.87,-20.27,86,98,1.1,RU,1608217482
Nanguneri,8.49,77.66,75.7,87,59,7.52,IN,1608217744
Agadez,19.75,10.25,77.9,17,0,4.59,NE,1608217539
Nouadhibou,20.93,-17.03,75.2,47,0,19.46,MR,1608217494
Salima,-13.78,34.46,86.18,49,92,5.86,MW,1608217745
Carnarvon,-24.87,113.63,73.4,83,0,20.8,AU,1608217471
Ponta do Sol,32.67,-17.1,66.2,63,40,10.29,PT,1608217467
Novopavlovka,51.22,109.21,-11.18,86,2,2.21,RU,1608217746
Ballina,-28.87,153.57,75.2,88,75,12.75,AU,1608217746
Olafsvik,64.89,-23.71,36.77,82,100,27.4,IS,1608217510
Tivoli,41.96,12.8,59,44,0,2.24,IT,1608217746
Emerald,-23.53,148.17,78.8,78,40,10.29,AU,1608217502
Mar del Plata,-38.0,-57.56,84.2,35,0,20.8,AR,1608217480
Mayumba,-3.43,10.66,75.36,86,100,2.91,GA,1608217747
Batemans Bay,-35.72,150.18,72,97,1,4.12,AU,1608217509
Lüderitz,-26.65,15.16,75.2,57,0,29.97,NA,1608217447
Valdivia,-39.81,-73.25,60.8,63,0,3.36,CL,1608217586
Esim,4.87,-2.24,83.08,75,66,10.42,GH,1608217549
Haldībāri,26.33,88.77,64.76,43,0,5.28,IN,1608217748
Vila Velha,-20.33,-40.29,86,58,40,10.29,BR,1608217548
Codrington,-38.27,141.97,52.68,85,75,14.74,AU,1608217451
Faya,18.39,42.45,64.4,63,20,11.41,SA,1608217749
Dunmore Town,25.5,-76.65,76.08,78,26,13.35,BS,1608217749
Yuli,9.7,10.27,95.59,11,31,7.78,NG,1608217749
Makushino,55.21,67.24,16.36,96,100,13.51,RU,1608217750
Bambous Virieux,-20.34,57.76,80.6,78,75,14.99,MU,1608217488
Yellowknife,62.46,-114.35,-34.6,73,90,6.93,CA,1608217380
Tuatapere,-46.13,167.68,54,84,100,4.0,NZ,1608217462
Dillon,34.42,-79.37,39.99,93,90,4.7,US,1608217751
Mount Gambier,-37.83,140.77,51.8,93,90,5.82,AU,1608217538
Cabo San Lucas,22.89,-109.91,53.6,81,5,6.93,MX,1608217582
Santa María del Oro,25.93,-105.37,47.57,45,0,1.41,MX,1608217751
Cayenne,4.93,-52.33,86,74,75,11.41,GF,1608217460
San Cristobal,7.77,-72.22,78.8,88,40,4.7,VE,1608217752
Flinders,-34.58,150.86,73,87,0,1.01,AU,1608217515
Polson,47.69,-114.16,34,92,100,7.83,US,1608217533
Ulaangom,49.98,92.07,-7.74,87,98,1.03,MN,1608217752
Taoudenni,22.68,-3.98,85.53,13,0,8.88,ML,1608217507
Bethanien,-26.5,17.16,99.03,8,3,11.05,NA,1608217753
Hobyo,5.35,48.53,80.92,74,4,19.93,SO,1608217497
Itarema,-2.92,-39.92,87.58,57,100,16.22,BR,1608217753
Gölköy,40.69,37.62,51.8,81,75,4.7,TR,1608217753
Usinsk,65.99,57.53,1.67,90,0,11.81,RU,1608217754
Bathsheba,13.22,-59.52,86,66,40,21.92,BB,1608217754
Thompson,55.74,-97.86,-18.4,82,75,2.24,CA,1608217464
Loandjili,-4.76,11.86,80.6,88,75,9.17,CG,1608217572
Pevek,69.7,170.31,8.89,91,34,13.38,RU,1608217468
Chokurdakh,70.63,147.92,0.55,93,100,13.2,RU,1608217489
Indianola,41.36,-93.56,23,91,58,5.3,US,1608217755
Beringovskiy,63.05,179.32,22.44,96,100,24.72,RU,1608217453
Ancud,-41.87,-73.82,59,72,40,6.93,CL,1608217472
Maceió,-9.67,-35.74,86,62,75,16.11,BR,1608217619
Sur,22.57,59.53,70.02,61,0,5.3,OM,1608217463
Belle Fourche,44.67,-103.85,30,63,1,4.7,US,1608217756
Varhaug,58.61,5.65,46.4,93,75,10.29,NO,1608217757
Bushehr,28.97,50.84,73.4,60,40,16.11,IR,1608217643
Mount Isa,-20.73,139.5,80.6,78,96,13.44,AU,1608217578
Dongsheng,39.82,109.98,6.89,88,5,8.86,CN,1608217758
Barrow,71.29,-156.79,-9.4,76,1,16.11,US,1608217446
Morris,40.83,-74.53,28.99,86,99,5.01,US,1608217616
Sinor,21.92,73.33,69.8,64,0,9.17,IN,1608217758
Provideniya,64.38,-173.3,8.19,92,100,23.2,RU,1608217469
Tura,25.52,90.22,58.51,55,0,1.05,IN,1608217759
Broken Hill,-31.95,141.43,68,45,46,21.92,AU,1608217759
Jagannāthpur,22.23,85.65,67.48,67,25,1.34,IN,1608217759
Katsuura,35.13,140.3,37.4,37,20,3.36,JP,1608217482
Kahului,20.89,-156.47,71.01,89,5,5.01,US,1608217534
Ngunguru,-35.62,174.5,55,88,24,3.0,NZ,1608217760
Rønne,55.1,14.71,44.6,93,100,19.46,DK,1608217760
Marsh Harbour,26.54,-77.06,76.78,77,14,14.94,BS,1608217761
Santa Isabel Rio Negro,-0.41,-65.02,80.13,89,85,2.91,BR,1608217761
Sembakung,3.82,117.25,75.13,95,80,0.78,ID,1608217761
Altagracia de Orituco,9.86,-66.38,82.47,65,44,4.99,VE,1608217761
Tezu,27.92,96.17,61,41,37,3.36,IN,1608217762
Pinar del Río,22.42,-83.7,78.8,70,0,2.35,CU,1608217762
Srednekolymsk,67.45,153.68,-18.38,87,99,8.37,RU,1608217762
Tāndā,26.55,82.65,55.31,38,0,8.59,IN,1608217762
Acarí,-15.43,-74.62,76.35,53,99,7.11,PE,1608217763
Ulladulla,-35.35,150.47,77,69,0,9.17,AU,1608217763
Qian’an,44.99,124.06,6.49,86,1,11.36,CN,1608217763
Luanda,-8.84,13.23,84.2,62,40,11.41,AO,1608217341
Río Gallegos,-51.62,-69.22,55.4,32,75,36.91,AR,1608217495
Borba,-4.39,-59.59,93.09,47,13,3.29,BR,1608217764
Cockburn Town,21.46,-71.14,79.2,80,15,15.73,TC,1608217764
Athens,37.98,23.72,59,62,40,5.82,GR,1608217689
Winnemucca,40.97,-117.74,33.8,86,90,4.52,US,1608217765
Nishifukuma,33.77,130.47,35.6,64,68,3.36,JP,1608217765
Camargo,27.67,-105.17,47.21,45,0,2.26,MX,1608217765
Phuntsholing,26.85,89.39,60.58,56,77,3.96,BT,1608217765
Sainte-Marie,-20.9,55.55,78.8,74,20,16.11,RE,1608217766
Mil'kovo,54.72,158.62,12.43,96,100,1.83,RU,1608217766
Singaraja,-8.11,115.09,80.1,75,100,7.87,ID,1608217766
Toora-Khem,52.47,96.11,6.84,91,100,1.74,RU,1608217766
Ribeira Grande,38.52,-28.7,66.2,88,75,24.16,PT,1608217477
Kudahuvadhoo,2.67,72.89,82.51,69,16,7.34,MV,1608217517
Naze,28.37,129.48,57.2,58,75,12.75,JP,1608217526
San Jerónimo,-11.95,-75.28,54.86,61,100,4.94,PE,1608217767
Kīhei,20.79,-156.47,71.01,89,6,5.01,US,1608217656
Raja,8.46,25.68,91.89,12,53,7.18,SS,1608217601
Karratha,-20.74,116.85,84.9,58,24,13.58,AU,1608217519
Puchezh,56.98,43.17,34.03,97,100,13.51,RU,1608217768
Aklavik,68.22,-135.01,-29.2,73,75,5.1,CA,1608217560
Moerai,-22.43,-151.33,78.98,78,93,14.74,PF,1608217769
Khalkhāl,37.62,48.53,35.13,92,100,1.39,IR,1608217769
Kitui,-1.37,38.01,69.55,88,39,6.64,KE,1608217769
San Ramon,37.78,-121.98,51.8,87,90,4.7,US,1608217689
Guilin,25.28,110.29,39.2,93,90,4.47,CN,1608217770
Pahrump,36.21,-115.98,52,33,100,1.99,US,1608217770
Roebourne,-20.78,117.13,85.08,61,42,15.21,AU,1608217770
Palmer,42.16,-72.33,21.99,79,90,14.99,US,1608217770
Bandarbeyla,9.49,50.81,76.91,83,100,23.82,SO,1608217603
Negara,-8.32,114.6,78.51,84,91,6.85,ID,1608217771
Pinheiro Machado,-31.58,-53.38,75,65,60,7.0,BR,1608217771
Novooleksiyivka,46.23,34.64,34.83,86,74,4.97,UA,1608217771
Yulara,-25.24,130.99,82.4,34,69,17.22,AU,1608217772
Quepos,9.42,-84.17,73.4,73,40,10.29,CR,1608217772
Kandrian,-6.22,149.55,78.33,86,96,5.19,PG,1608217772
Winslow,35.02,-110.7,17.6,67,1,5.82,US,1608217715
Chapais,49.78,-74.85,-14.8,75,1,5.82,CA,1608217542
Torit,4.41,32.57,94.12,18,43,2.53,SS,1608217773
Korla,41.76,86.15,19.83,85,23,0.67,CN,1608217492
Mahajanga,-15.72,46.32,86,66,20,13.87,MG,1608217769
Makīnsk,52.63,70.42,11.64,90,100,18.01,KZ,1608217774
Husavik,66.04,-17.34,37.4,89,75,13.87,IS,1608217774
Meulaboh,4.14,96.13,76.86,89,100,3.06,ID,1608217508
Arica,-18.48,-70.3,71.6,64,0,10.29,CL,1608217774
Tual,-5.67,132.75,84.72,76,100,19.3,ID,1608217752
Ambilobe,-13.2,49.05,79.38,80,55,3.06,MG,1608217775
Faanui,-16.48,-151.75,79.86,76,85,17.4,PF,1608217526
Semporna,4.48,118.61,77,94,20,7.54,MY,1608217775
Praia da Vitória,38.73,-27.07,66.2,88,40,22.77,PT,1608217266
Casino,-28.87,153.05,73.4,94,66,3.15,AU,1608217776
Gweru,-19.45,29.82,72.9,76,99,5.32,ZW,1608217776
Feijó,-8.16,-70.35,91.85,46,89,2.42,BR,1608217776
São Félix do Xingu,-6.64,-51.99,92.8,44,1,4.38,BR,1608217777
Rudnogorsk,57.26,103.75,-7.98,89,100,4.52,RU,1608217777
Gravdal,68.12,13.5,35.6,55,20,11.41,NO,1608217777
Isla Mujeres,21.23,-86.73,80.01,94,40,7.05,MX,1608217777
Ostrovnoy,68.05,39.51,26.38,90,100,10.65,RU,1608217578
Ukiah,39.15,-123.21,48.2,93,90,3.8,US,1608217638
Leningradskiy,69.38,178.42,14.59,94,100,24.63,RU,1608217535
San Policarpo,12.18,125.51,81.05,81,100,19.62,PH,1608217546
Haines Junction,60.75,-137.51,-5.8,83,100,2.24,CA,1608217778
Conde,-7.26,-34.91,87.8,62,75,12.75,BR,1608217779
Tonantins,-2.87,-67.8,83.61,69,72,3.11,BR,1608217779
Vestmannaeyjar,63.44,-20.27,41,69,40,10.29,IS,1608217779
Kibala,9.11,18.35,96.8,13,0,6.93,TD,1608217779
Forestville,38.85,-76.88,32,79,1,9.17,US,1608217780
Mahébourg,-20.41,57.7,80.6,78,75,14.99,MU,1608217515
Kahama,-3.83,32.6,71.13,86,100,3.85,TZ,1608217780
Doka,13.52,35.77,86.59,20,78,8.08,SD,1608217780
Waingapu,-9.66,120.26,79.27,80,83,7.36,ID,1608217631
Abu Dhabi,24.47,54.37,75.2,64,0,6.93,AE,1608217549
Araceli,10.55,119.99,83.3,77,61,22.17,PH,1608217781
Honningsvåg,70.98,25.97,24.8,73,0,8.05,NO,1608217781
Tortolì,39.93,9.66,62.6,72,20,2.24,IT,1608217782
Daru,-9.08,143.21,80.98,88,99,9.98,PG,1608217782
Huarmey,-10.07,-78.15,73.49,70,4,9.24,PE,1608217569
Purranque,-40.92,-73.17,59,71,20,5.82,CL,1608217782
Nemuro,43.32,145.57,25.88,84,9,23.55,JP,1608217373
Dafeng,23.45,108.59,48.78,51,100,6.89,CN,1608217783
Acajutla,13.59,-89.83,75.99,69,0,4.7,SV,1608217497
Bukama,-9.2,25.85,80.13,86,100,2.13,CD,1608217783
Porto Nacional,-10.71,-48.42,86,62,40,6.93,BR,1608217784
Iqaluit,63.75,-68.51,1.4,64,90,9.17,CA,1608217322
Hasaki,35.73,140.83,33.8,55,20,4.7,JP,1608217589
Hattiesburg,31.33,-89.29,37.99,69,90,8.05,US,1608217742
‘Ewa Beach,21.32,-158.01,75,100,1,6.93,US,1608217784
Minas de Barroterán,27.63,-101.28,47.77,49,0,3.62,MX,1608217785
Killam,52.78,-111.85,30.2,85,100,1.12,CA,1608217785
Elizabeth City,36.29,-76.25,41,93,1,11.41,US,1608217785
Fredericton,45.95,-66.67,10.4,55,100,10.29,CA,1608217709
Leh,34.17,77.58,1.9,53,12,2.66,IN,1608217406
Shingū,33.73,135.98,35.65,84,4,7.76,JP,1608217786
Provincia di Cagliari,39.24,9.09,66.2,77,40,10.29,IT,1608217786
Dajal,29.56,70.38,54.43,36,0,1.25,PK,1608217787
Saint-Joseph,-21.37,55.62,81,74,0,18.34,RE,1608217787
Plácido de Castro,-10.34,-67.19,96.75,37,36,1.88,BR,1608217787
Mackay,-21.15,149.2,78.8,88,89,9.17,AU,1608217787
Krasnyy Chikoy,50.36,108.75,-11.45,84,9,3.38,RU,1608217788
Wattegama,6.8,81.48,77,100,20,2.24,LK,1608217788
Noyabrsk,63.2,75.45,5.41,95,100,14.72,RU,1608217788
Misratah,32.38,15.09,64.24,59,22,11.92,LY,1608217501
Manokwari,-0.87,134.08,81.46,78,93,3.13,ID,1608217789
Mogadishu,2.04,45.34,82.4,65,20,16.11,SO,1608217789
Kaeo,-35.1,173.78,55,88,5,4.0,NZ,1608217460
Aktobe,50.28,57.21,12.2,85,0,6.71,KZ,1608217522
Fort Nelson,58.81,-122.7,-16.6,68,90,11.41,CA,1608217529
Coahuayana Viejo,18.73,-103.68,66.2,72,5,2.06,MX,1608217518
Port Hawkesbury,45.62,-61.35,27,79,90,5.82,CA,1608217790
Lagoa,39.05,-27.98,63.61,92,100,31.0,PT,1608217447
Kloulklubed,7.04,134.26,80.6,88,90,14.99,PW,1608217791
Shambu,9.57,37.1,59.25,48,28,0.96,ET,1608217791
San Patricio,28.02,-97.52,48,87,1,6.93,US,1608217557
Trairi,-3.28,-39.27,88.72,54,78,14.2,BR,1608217729
Innisfail,-17.53,146.03,76.84,84,100,2.46,AU,1608217792
